이체년월,법정동시도,법정동시군_일부통합(연금일시금분류(일시금합침)),노령연금 수급자수,노령연금 금액,장애연금 수급자수,장애연금 금액,유족연금 수급자수,유족연금 금액,일시금 수급자수,일시금 금액
2022-07,충청북도,제천시,16682 ,7526895000 ,237 ,116085490 ,3113 ,772443880 ,50 ,262769060 
2022-07,충청북도,보은군,5972 ,2449409290 ,65 ,27709170 ,1402 ,311057560 ,10 ,71989800 
2022-07,충청북도,옥천군,8783 ,3743666980 ,98 ,49690650 ,1748 ,398654440 ,15 ,63536190 
2022-07,충청북도,영동군,8256 ,3434819940 ,69 ,30084370 ,1754 ,413487700 ,19 ,124661110 
2022-07,충청북도,증평군,3782 ,1673317260 ,50 ,21358870 ,717 ,159784480 ,9 ,67081620 
2022-07,충청북도,진천군,8890 ,4066983990 ,128 ,50296970 ,1628 ,384688530 ,55 ,391279670 
2022-07,충청북도,괴산군,7347 ,3233893790 ,37 ,15138830 ,1476 ,332392530 ,11 ,32310960 
2022-07,충청북도,음성군,12215 ,5397190590 ,166 ,78654470 ,2232 ,531244100 ,76 ,682466020 
2022-07,충청북도,단양군,5286 ,2368917180 ,60 ,55489920 ,1029 ,246136480 ,15 ,67884930 
2022-07,충청남도,천안시,46997 ,23150581270 ,821 ,469951130 ,8605 ,2296450760 ,318 ,1798655790 
2022-07,충청남도,공주시,14887 ,6076698670 ,149 ,71902440 ,3044 ,678674820 ,33 ,167956060 
2022-07,충청남도,보령시,14374 ,5608390650 ,210 ,77172040 ,3130 ,635130530 ,38 ,229922060 
2022-07,충청남도,아산시,25291 ,11753126690 ,439 ,264907460 ,4615 ,1156359470 ,131 ,918333390 
2022-07,충청남도,서산시,17679 ,7735372310 ,216 ,105512160 ,3366 ,776713150 ,63 ,401402540 
2022-07,충청남도,논산시,16155 ,6336951960 ,159 ,58787530 ,3323 ,706496640 ,35 ,149279470 
2022-07,충청남도,계룡시,2586 ,1169510280 ,44 ,29466540 ,458 ,118989970 ,6 ,51817280 
2022-07,충청남도,당진시,17329 ,7512485980 ,235 ,93585710 ,3456 ,811123020 ,66 ,482818960 
2022-07,충청남도,금산군,8640 ,3303299300 ,73 ,33422960 ,1937 ,402221350 ,18 ,118418500 
2022-07,충청남도,부여군,12035 ,4647933610 ,138 ,56051350 ,2596 ,550488810 ,27 ,135426370 
2022-07,충청남도,서천군,9776 ,3770630640 ,124 ,62148390 ,2044 ,426543830 ,10 ,26806340 
2022-07,충청남도,청양군,5938 ,2296935470 ,62 ,25242320 ,1348 ,266902480 ,8 ,48515370 
2022-07,충청남도,홍성군,12069 ,4972027840 ,167 ,72827120 ,2558 ,593392680 ,21 ,112811200 
2022-07,충청남도,예산군,12431 ,5088018170 ,133 ,53451470 ,2587 ,579437620 ,19 ,69459190 
2022-07,충청남도,태안군,10401 ,4057470550 ,106 ,90285030 ,2153 ,454917020 ,31 ,144289540 
2022-07,전라북도,전주시,56520 ,25559712440 ,864 ,529891730 ,10576 ,2803975010 ,108 ,398498760 
2022-07,전라북도,군산시,29074 ,12916588400 ,437 ,188937400 ,5576 ,1347420950 ,105 ,580194480 
2022-07,전라북도,익산시,32536 ,13258850490 ,476 ,202185650 ,5923 ,1327799540 ,92 ,552586370 
2022-07,전라북도,정읍시,16207 ,5665441340 ,173 ,102687930 ,3653 ,728406120 ,38 ,158015110 
2022-07,전라북도,남원시,12515 ,4498481880 ,136 ,50093280 ,2807 ,573632250 ,29 ,90887550 
