이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
동광주,47883 ,19906911660 ,48235 ,20159814780 ,48579 ,20359374170 ,48887 ,20570646680 ,49289 ,20896690510 ,49588 ,21064809530 ,49962 ,22406230880 ,50058 ,22559029820 ,50141 ,22548652890 ,50235 ,22618768870 ,50284 ,22679718410 ,50336 ,22718162780 
북광주,54300 ,23367007190 ,54664 ,23633297130 ,55048 ,23819384110 ,55578 ,24225383240 ,56069 ,24606766180 ,56441 ,24826056320 ,56911 ,26462058070 ,57114 ,26633769360 ,57259 ,26663989780 ,57367 ,26750195760 ,57396 ,26812059190 ,57452 ,26852754210 
동대전,57389 ,24047728410 ,57766 ,24277526890 ,58131 ,24468023340 ,58492 ,24719627940 ,58889 ,24978660800 ,59277 ,25235650570 ,59805 ,26940664280 ,59962 ,27047125460 ,60068 ,27042373370 ,60207 ,27184892530 ,60208 ,27218554610 ,60192 ,27204434700 
북대전,40504 ,21923659630 ,40801 ,22138747560 ,41141 ,22436483790 ,41546 ,22732516490 ,41973 ,23053399810 ,42362 ,23360385320 ,42832 ,24951881000 ,43003 ,25206367500 ,43143 ,25165188320 ,43261 ,25305029620 ,43356 ,25389237960 ,43447 ,25440959190 
대전세종지역본부,22491 ,11695293810 ,22692 ,11843021210 ,22925 ,12010270560 ,23135 ,12160628770 ,23336 ,12347090330 ,23586 ,12543966480 ,23807 ,13384989100 ,23934 ,13491219150 ,24025 ,13582150590 ,24094 ,13643171000 ,24150 ,13720756940 ,24175 ,13728782640 
서대전,55948 ,26285848170 ,56380 ,26580670520 ,56843 ,26791239310 ,57372 ,27151403350 ,57855 ,27501303100 ,58312 ,27849817460 ,58885 ,29730220380 ,59090 ,29865070020 ,59277 ,29928158020 ,59354 ,30024387640 ,59425 ,30139407710 ,59509 ,30208421820 
남울산,52244 ,32397968620 ,52729 ,32879964480 ,53143 ,33162408780 ,53620 ,33476335040 ,54121 ,34035300540 ,54562 ,34320488410 ,55241 ,36933747310 ,55625 ,37383627960 ,55889 ,37405596830 ,56113 ,37693116420 ,56263 ,37823787940 ,56363 ,37940687490 
동울산,54524 ,39231556360 ,54864 ,39548884170 ,55286 ,39918470230 ,55730 ,40235670520 ,56148 ,40627265300 ,56606 ,41060716190 ,57302 ,43989514440 ,57762 ,44729971650 ,58020 ,44833403110 ,58202 ,45042399130 ,58353 ,45198324800 ,58525 ,45366598220 
경인지역본부,47136 ,26469764610 ,47524 ,26746093590 ,47969 ,27080589380 ,48393 ,27467547270 ,48893 ,27904001160 ,49399 ,28288640350 ,49957 ,30372264920 ,50119 ,30511158820 ,50290 ,30500459620 ,50446 ,30721406680 ,50542 ,30729004640 ,50652 ,30836628470 
안양과천,58172 ,32736518490 ,58644 ,33184712950 ,59275 ,33584179590 ,59883 ,34086175200 ,60449 ,34555917880 ,61005 ,35034667250 ,61661 ,37545770320 ,61927 ,37779925120 ,62116 ,37626374540 ,62215 ,37767260100 ,62301 ,37852684160 ,62325 ,37913690300 
